warn  2021-10-25 19:55:16: `permit_join` set to  `true` in configuration.yaml.
warn  2021-10-25 19:55:16: Allowing new devices to join.
warn  2021-10-25 19:55:16: Set `permit_join` to `false` once you joined all devices.
error 2021-10-26 00:39:25: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 00:39:25: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 00:39:25: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 00:39:26: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 01:24:14: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 02:54:04: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:33:21: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:33:21: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:33:21: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:33:29: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:33:29: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:33:30: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:33:53: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:33:54: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:33:54: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:34:38: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:34:41: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:34:42: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:34:47: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:35:25: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:35:49: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:35:49: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:35:50: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:35:54: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:35:54: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:35:55: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 16:35:59: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:36:00: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:36:00: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 16:51:33: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:51:33: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:51:33: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:52:26: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:52:32: No converter available for 'lamp' (lampLiving)
error 2021-10-26 16:54:35: No converter available for 'lamp' (lampLiving)
